idx_1,idx_2,ref_clus,ref_frac,max_sim,max_clus,max_frac,sim_mn,sim_sd,percentile_max_sim
0,0,"Stifled By Constraints, Make It Happen, Routine Seeker, Reframer, Generalist",0.02144082969918947,1.0,"Stifled By Constraints, Make It Happen, Routine Seeker, Reframer, Generalist",0.02144082969918947,0.35920649161384005,0.17840173304380152,0.9814814814814815
0,0,"Stimulated By Constraints, Collaborator, Outwardly Inspired, Risk Friendly, Multitasker",0.10819223940031054,1.0,"Stimulated By Constraints, Collaborator, Outwardly Inspired, Risk Friendly, Multitasker",0.10819223940031054,0.3448141832145599,0.18044507283932074,0.9814814814814815
0,0,"Stimulated By Constraints, Inwardly Inspired, Risk Friendly, Night Owl, Hate Distractions",0.009918055318232135,1.0,"Stimulated By Constraints, Inwardly Inspired, Risk Friendly, Night Owl, Hate Distractions",0.009918055318232135,0.37375847898792225,0.17284107078134137,0.9814814814814815
0,0,"Tenacious, Collaborator, Internally Motivated, Early Bird, Stifled By Constraints",0.0005869111386819015,1.0,"Tenacious, Collaborator, Internally Motivated, Early Bird, Stifled By Constraints",0.0005869111386819015,0.256960677696097,0.1282697237709118,0.9814814814814815
0,0,"Tenacious, Collaborator, Self-Assured, Risk Friendly, Fast Paced",0.0003566042361611554,1.0,"Tenacious, Collaborator, Self-Assured, Risk Friendly, Fast Paced",0.0003566042361611554,0.23039164427822809,0.12430195426326777,0.9814814814814815
0,0,"Tenacious, Routine Seeker, Outwardly Inspired, Self-Assured, Risk Friendly",0.0003268872164810591,1.0,"Tenacious, Routine Seeker, Outwardly Inspired, Self-Assured, Risk Friendly",0.0003268872164810591,0.22011564783911164,0.12557467378968493,0.9814814814814815
0,1,"Collaborator, Early Bird, Let It Happen, Novelty Seeker, Inwardly Inspired",0.0004308967853613961,0.32478260474958737,"Multitasker, Silence, Collaborator, Novelty Seeker, Risk Friendly",0.07798488889549267,0.21077214635895825,0.06266337067334053,0.7643097643097643
0,1,"Collaborator, Generalist, Silence, Routine Seeker, Multitasker",0.0002525946672808184,0.3889481465318594,"Collaborator, Routine Seeker, Self-Critical, Generalist, Kinetic",0.0008840813354828645,0.1993938794765731,0.064282161683909,0.8580246913580247
0,1,"Early Bird, Outwardly Inspired, Solo Creator, Noise/Music, Routine Seeker",0.0003566042361611554,0.33274911193173146,"Routine Seeker, Risk Friendly, Internally Motivated, Noise/Music, Private",0.0035066083222513615,0.20169356670494806,0.07159329664227021,0.77665544332211
0,1,"Early Bird, Risk Averse, Love Distractions, Pragmastist, Tenacious",0.0006834914526422146,0.4281042555183265,"Collaborator, Novelty Seeker, Risk Averse, Slow Paced, Reframer",0.019278916517462465,0.27787204593831416,0.08716219389453381,0.8855218855218855
